,alpha,avg_net_reward,epsilon,final_deadline,gamma,net_reward,success
0,0.0,11.1835039683,0.0,1.72,0.5,10.995,0.11
1,0.0,-11.2391865079,0.0,0.34,0.55,-11.305,0.04
2,0.0,6.54754761905,0.0,10.58,0.6,7.07,0.65
3,0.0,-15.7941071429,0.0,0.64,0.65,-15.645,0.02
4,0.0,-12.731515873,0.0,0.83,0.7,-12.185,0.07
5,0.0,15.5257837302,0.0,1.99,0.75,15.49,0.13
6,0.0,-4.24850793651,0.0,1.74,0.8,-4.18,0.12
7,0.0,7.66200595238,0.0,4.4,0.85,7.32,0.34
8,0.0,-2.63195039683,0.0,1.1,0.9,-2.645,0.03
9,0.0,-4.28955753968,0.0,0.45,0.95,-4.32,0.02
10,0.0,19.668968254,0.0,11.05,1.0,19.645,0.9
11,0.05,21.9826428571,0.0,11.3,0.5,22.825,0.71
12,0.05,17.5386150794,0.0,8.28,0.55,18.315,0.63
13,0.05,19.2422063492,0.0,12.34,0.6,19.79,0.88
14,0.05,11.7328035714,0.0,2.35,0.65,11.955,0.23
15,0.05,17.7041746032,0.0,9.25,0.7,18.65,0.76
16,0.05,18.62575,0.0,7.3,0.75,18.865,0.58
17,0.05,7.5631031746,0.0,2.7,0.8,8.24,0.19
18,0.05,15.4574623016,0.0,4.73,0.85,16.095,0.34
19,0.05,15.6046309524,0.0,5.86,0.9,16.4,0.49
20,0.05,8.46205753968,0.0,5.56,0.95,8.76,0.34
21,0.05,-0.384452380952,0.0,0.0,1.0,-0.24,0.0
22,0.1,22.9990178571,0.0,9.24,0.5,24.08,0.6
23,0.1,21.7730575397,0.0,9.16,0.55,22.09,0.62
24,0.1,19.7594781746,0.0,9.64,0.6,20.505,0.75
25,0.1,25.3610892857,0.0,7.86,0.65,26.465,0.54
26,0.1,17.4338511905,0.0,8.55,0.7,17.78,0.62
27,0.1,19.3239861111,0.0,11.05,0.75,19.575,0.89
28,0.1,20.5133472222,0.0,7.02,0.8,21.195,0.42
29,0.1,12.3300456349,0.0,3.33,0.85,12.6,0.25
30,0.1,21.3868869048,0.0,11.87,0.9,21.46,0.97
31,0.1,12.9335099206,0.0,6.75,0.95,13.665,0.49
32,0.1,3.86588690476,0.0,2.07,1.0,3.925,0.13
33,0.15,23.2849801587,0.0,9.57,0.5,23.785,0.6
34,0.15,24.9088690476,0.0,10.99,0.55,24.875,0.71
35,0.15,24.5389781746,0.0,12.05,0.6,24.655,0.73
36,0.15,18.142109127,0.0,9.16,0.65,18.8,0.59
37,0.15,22.2324761905,0.0,10.02,0.7,22.475,0.86
38,0.15,22.7417361111,0.0,14.05,0.75,23.185,0.94
39,0.15,13.1144920635,0.0,1.67,0.8,13.65,0.16
40,0.15,17.6315039683,0.0,10.27,0.85,18.69,0.82
41,0.15,13.6455873016,0.0,1.75,0.9,13.915,0.17
42,0.15,16.7324543651,0.0,7.37,0.95,17.61,0.56
43,0.15,12.2321309524,0.0,3.09,1.0,12.44,0.33
44,0.2,20.2288234127,0.0,12.73,0.5,20.555,0.89
45,0.2,19.7768829365,0.0,12.69,0.55,20.505,0.88
46,0.2,17.3486626984,0.0,8.7,0.6,17.935,0.62
47,0.2,20.3000277778,0.0,8.6,0.65,20.7,0.77
48,0.2,22.8566210317,0.0,8.4,0.7,23.325,0.56
49,0.2,18.6150416667,0.0,8.43,0.75,18.68,0.58
50,0.2,17.3620555556,0.0,11.5,0.8,17.64,0.71
51,0.2,15.149140873,0.0,7.76,0.85,15.285,0.51
52,0.2,12.451609127,0.0,4.27,0.9,13.01,0.33
53,0.2,17.667875,0.0,8.17,0.95,18.115,0.63
54,0.2,5.10981349206,0.0,1.6,1.0,4.93,0.11
55,0.25,20.8654761905,0.0,11.96,0.5,21.0,0.93
56,0.25,3.0970734127,0.0,0.19,0.55,3.31,0.01
57,0.25,18.981922619,0.0,8.34,0.6,19.89,0.73
58,0.25,21.8924920635,0.0,12.54,0.65,21.695,0.97
59,0.25,21.9444960317,0.0,14.6,0.7,22.06,0.93
60,0.25,26.292968254,0.0,9.92,0.75,26.26,0.66
61,0.25,1.12971428571,0.0,0.09,0.8,1.305,0.02
62,0.25,16.9267619048,0.0,8.83,0.85,17.285,0.65
63,0.25,26.0935912698,0.0,9.97,0.9,25.955,0.62
64,0.25,15.7440575397,0.0,7.33,0.95,16.29,0.54
65,0.25,18.8308988095,0.0,8.82,1.0,19.465,0.49
66,0.3,19.6585119048,0.0,10.8,0.5,20.355,0.92
67,0.3,21.6381924603,0.0,8.21,0.55,21.98,0.6
68,0.3,27.9142301587,0.0,5.62,0.6,28.67,0.46
69,0.3,19.6981428571,0.0,10.45,0.65,20.26,0.83
70,0.3,23.8773353175,0.0,14.25,0.7,23.895,0.93
71,0.3,19.748297619,0.0,11.79,0.75,20.2,0.88
72,0.3,24.4251964286,0.0,9.82,0.8,24.5,0.68
73,0.3,11.0660595238,0.0,2.02,0.85,11.19,0.23
74,0.3,10.4892400794,0.0,2.93,0.9,10.59,0.23
75,0.3,13.2271666667,0.0,5.43,0.95,13.655,0.52
76,0.3,15.2990674603,0.0,9.09,1.0,15.52,0.64
77,0.35,15.593781746,0.0,7.72,0.5,15.71,0.57
78,0.35,21.6079166667,0.0,13.03,0.55,21.92,0.94
79,0.35,18.4416646825,0.0,7.47,0.6,18.875,0.6
80,0.35,19.4058154762,0.0,10.89,0.65,19.935,0.67
81,0.35,18.3546210317,0.0,12.04,0.7,19.245,0.88
82,0.35,18.5054444444,0.0,7.35,0.75,18.805,0.55
83,0.35,20.5168650794,0.0,11.98,0.8,20.89,0.84
84,0.35,17.2349305556,0.0,5.16,0.85,17.645,0.42
85,0.35,19.6090972222,0.0,8.57,0.9,19.575,0.63
86,0.35,16.1534980159,0.0,3.03,0.95,17.18,0.19
87,0.35,20.8942837302,0.0,14.03,1.0,20.975,0.93
88,0.4,23.0558789683,0.0,9.91,0.5,23.12,0.74
89,0.4,5.17169642857,0.0,0.47,0.55,4.66,0.04
90,0.4,20.9076150794,0.0,11.6,0.6,21.1,0.84
91,0.4,13.7078928571,0.0,5.94,0.65,13.605,0.42
92,0.4,22.7889603175,0.0,13.49,0.7,22.905,0.86
93,0.4,22.4796289683,0.0,12.73,0.75,22.685,0.8
94,0.4,20.2600615079,0.0,6.77,0.8,21.035,0.4
95,0.4,14.1894920635,0.0,4.6,0.85,14.6,0.37
96,0.4,16.8274880952,0.0,7.8,0.9,17.42,0.55
97,0.4,11.8348948413,0.0,4.02,0.95,12.155,0.33
98,0.4,10.2388948413,0.0,4.18,1.0,10.685,0.36
99,0.45,16.1161130952,0.0,5.9,0.5,15.365,0.38
100,0.45,21.1995912698,0.0,14.71,0.55,21.64,0.96
101,0.45,6.7533015873,0.0,0.23,0.6,6.03,0.01
102,0.45,21.3795515873,0.0,13.05,0.65,21.695,0.92
103,0.45,15.0286507937,0.0,7.18,0.7,15.62,0.51
104,0.45,12.5755615079,0.0,3.7,0.75,13.06,0.26
105,0.45,12.7104642857,0.0,2.72,0.8,13.045,0.28
106,0.45,19.833172619,0.0,13.64,0.85,20.51,0.92
107,0.45,12.2304047619,0.0,3.61,0.9,12.28,0.31
108,0.45,20.101031746,0.0,10.02,0.95,20.51,0.93
109,0.45,3.10684126984,0.0,0.64,1.0,3.285,0.02
110,0.5,3.77997619048,0.0,0.19,0.5,3.555,0.02
111,0.5,4.32956349206,0.0,0.54,0.55,3.765,0.06
112,0.5,19.8185436508,0.0,9.49,0.6,20.41,0.72
113,0.5,19.8102321429,0.0,8.77,0.65,20.3,0.67
114,0.5,19.5210595238,0.0,10.85,0.7,19.77,0.81
115,0.5,18.3027162698,0.0,6.9,0.75,18.935,0.57
116,0.5,23.3426865079,0.0,14.06,0.8,22.94,0.94
117,0.5,13.5041527778,0.0,1.99,0.85,13.385,0.13
118,0.5,15.5707281746,0.0,7.28,0.9,16.005,0.56
119,0.5,13.2725178571,0.0,6.32,0.95,13.92,0.5
120,0.5,3.81130555556,0.0,1.07,1.0,3.96,0.12
121,0.55,20.4031468254,0.0,15.29,0.5,21.005,0.96
122,0.55,21.2030357143,0.0,14.62,0.55,21.35,0.97
123,0.55,9.00160515873,0.0,1.27,0.6,8.325,0.09
124,0.55,20.7326884921,0.0,10.95,0.65,20.93,0.77
125,0.55,24.2691785714,0.0,9.83,0.7,24.125,0.68
126,0.55,3.5882797619,0.0,0.25,0.75,3.52,0.01
127,0.55,6.48647420635,0.0,0.62,0.8,6.18,0.05
128,0.55,16.0142876984,0.0,5.01,0.85,16.925,0.31
129,0.55,23.9505952381,0.0,9.94,0.9,24.43,0.69
130,0.55,18.4913194444,0.0,10.05,0.95,18.52,0.61
131,0.55,2.75347222222,0.0,0.51,1.0,2.875,0.06
132,0.6,21.1954781746,0.0,13.06,0.5,21.55,0.94
133,0.6,20.3622738095,0.0,13.25,0.55,20.5,0.92
134,0.6,23.5783829365,0.0,10.03,0.6,23.86,0.7
135,0.6,9.20314087302,0.0,2.13,0.65,8.605,0.15
136,0.6,21.6493869048,0.0,7.11,0.7,21.96,0.61
137,0.6,23.9237638889,0.0,10.43,0.75,24.215,0.67
138,0.6,21.8714365079,0.0,6.67,0.8,21.58,0.45
139,0.6,21.7336309524,0.0,11.12,0.85,21.975,0.65
140,0.6,22.2411706349,0.0,10.15,0.9,22.0,0.65
